plant_id,Scientific_Name,Common_Name,Family,Traditional_System,Primary_Use,Toxicity_Level,Evidence_Level
8859b3a6-1ce6-45ee-b6bb-e6c3654a0a34,Angelica cjfutve,White Mediterranean Angelica Rhizome (Inflammation),Apiaceae,African Traditional,Cardiovascular,Low,Traditional
e2083a0d-4514-4faa-8f3d-227e7958bddb,Inula ifquhjl,Rare Kerala Inula Resin (Cardiovascular),Araliaceae,Ayurveda,Cardiovascular,Moderate,Preclinical
909e4b2a-ce07-4fce-83b9-4eca2c2366d3,Achillea wuljnfl,Silver Bengal Achillea Infusion (Skin),Rosaceae,TCM,Sleep,High,Clinical
782a12f2-6c3f-44cc-8b15-179c62fcb518,Scutellaria khvcvge,Sacred Balkan Scutellaria Root (Inflammation),Poaceae,Amazonian,Skin,Moderate,Traditional
6c3894f3-9dc7-497e-9bb2-9cc210bf557e,Salvia zhtunhd,Sacred Amazon Salvia Seed (Diabetes),Araliaceae,Amazonian,Cardiovascular,Moderate,Traditional
e7082e9a-a8bd-4675-a33a-e965e3b53b37,Glycyrrhiza kfbtbcd,Sacred Amazon Glycyrrhiza Powder (Sleep),Euphorbiaceae,Unani,Diabetes,High,Clinical
f616c62f-51e8-4386-aa43-9148546a9104,Terminalia hpcqnqa,Vital Andean Terminalia Essence (Skin),Apiaceae,Unani,Cognitive,High,Preclinical
2bf4977c-d299-4f8f-9f5f-47ca09ccbe33,Passiflora ojtvifd,Purifying Kerala Passiflora Rhizome (Cardiovascular),Zingiberaceae,Western Herbal,Liver,High,Traditional
ae8eab85-315d-43c6-bb63-f1a88c9c37d6,Polygonum zritoli,Resilient Andean Polygonum Powder (Diabetes),Rutaceae,Western Herbal,Cardiovascular,Moderate,Clinical
5d56f617-16a3-406e-9e17-43884953bf54,Plantago jurmraw,Gentle Amazon Plantago Tonic (Cognitive),Solanaceae,Unani,Skin,Moderate,Clinical
eb511194-5af7-4360-99f6-e632ff317d83,Salvia ruhfkhp,Purifying Amazon Salvia Flower (Diabetes),Zingiberaceae,Ayurveda,Cardiovascular,High,Traditional
56777bff-722f-4f8d-80e0-b30b0bd673df,Trigonella nivzpbd,Calming Balkan Trigonella Infusion (Immune),Araliaceae,Unani,Respiratory,Moderate,Preclinical
26a48441-5a06-45b1-a5b0-849183d05125,Boswellia vivtypz,Green Mediterranean Boswellia Essence (Skin),Rosaceae,Amazonian,Cardiovascular,Moderate,Preclinical
6c7fb3e5-164c-48e7-996e-3ba82baee477,Boswellia kxxroqb,River Bengal Boswellia Leaf (Immune),Apiaceae,African Traditional,Inflammation,High,Traditional
add29bf9-ed9f-4d07-8994-149ec1c34212,Valeriana qhrujix,Silver Atlas Valeriana Root (Stress),Poaceae,African Traditional,Sleep,High,Traditional
39c997e7-aa7e-4518-9024-2e831983982f,Uncaria rogndtn,Cooling Saharan Uncaria Root (Immune),Apiaceae,TCM,Inflammation,Moderate,Clinical
3cf4cc35-0934-4d8c-967b-41a8682c5d34,Silybum rndkzlc,Restorative Kerala Silybum Extract (Respiratory),Asteraceae,TCM,Respiratory,High,Preclinical
03720fc6-591c-49fc-8f0b-4a6769480681,Angelica qbtopqc,Red Saharan Angelica Tonic (Digestive),Rutaceae,Unani,Sleep,Moderate,Preclinical
3ee3ca32-a7a9-4513-8d62-707aef2f5ec8,Silybum wzjjdmx,Black Kerala Silybum Essence (Respiratory),Rosaceae,Ayurveda,Cognitive,Moderate,Clinical
3bff7360-44c8-49ba-8b6a-87da490c3f46,Terminalia mgdedzt,Restorative Sichuan Terminalia Fruit (Digestive),Araliaceae,TCM,Inflammation,Moderate,Clinical
7dc37541-2ec9-4eb0-bad6-a0b1caf4f0a5,Plantago twwrvhl,Black Balkan Plantago Fruit (Diabetes),Lamiaceae,Ayurveda,Metabolic,High,Traditional
1d661021-28a0-4877-b525-4e37caa4ce16,Inula rqbrwir,Green Himalayan Inula Elixir (Cardiovascular),Araliaceae,Amazonian,Diabetes,Moderate,Clinical
f89361c5-1685-4d09-99b0-dcc5a76f7f70,Passiflora iwtfcnb,Golden Balkan Passiflora Root (Diabetes),Araliaceae,Unani,Immune,High,Preclinical
4312234c-682a-4281-85df-194d978f30e9,Angelica uymxmyv,Ancient Mediterranean Angelica Flower (Sleep),Araliaceae,Amazonian,Immune,Low,Preclinical
7cb07fe9-30fb-443f-96f1-09e4c62213eb,Harpagophytum xuldrrs,Green Sichuan Harpagophytum Tonic (Sleep),Solanaceae,African Traditional,Cognitive,Moderate,Traditional
1d321209-1611-4d57-8408-6385a1d37250,Hypericum dvivuab,Black Balkan Hypericum Bark (Skin),Apiaceae,Unani,Skin,High,Clinical
7887fd87-6018-4d93-be62-d92cca4e4098,Silybum qeaoded,Silver Bengal Silybum Bark (Respiratory),Rutaceae,African Traditional,Inflammation,High,Preclinical
f3814030-dc27-44c1-a458-046c4880684a,Harpagophytum kgszjqi,Calming Mediterranean Harpagophytum Elixir (Metabolic),Solanaceae,Unani,Immune,Low,Preclinical
cb8737c0-cca6-4e90-90ec-2f123546d917,Plantago dwjqhyp,Restorative Saharan Plantago Extract (Immune),Rosaceae,African Traditional,Cognitive,High,Preclinical
538a48b3-0917-4b59-aaab-65680fd97f6a,Plantago vqdtqeb,Sacred Bengal Plantago Bark (Inflammation),Rosaceae,Ayurveda,Immune,Low,Clinical
3ba13364-3ecc-4cf8-8df0-dc6f2e62737f,Uncaria fzpxqyo,Rare Nile Uncaria Root (Cardiovascular),Asteraceae,African Traditional,Immune,Low,Traditional
a904194c-2936-4652-ad6a-155d02877109,Aegle ehvakja,Healing Bengal Aegle Fruit (Digestive),Zingiberaceae,Amazonian,Stress,High,Preclinical
dd534bd4-96be-40e8-8d21-149fa5c90925,Polygonum cxwowoj,Cooling Nile Polygonum Root (Respiratory),Poaceae,Ayurveda,Diabetes,Moderate,Preclinical
cc2d53b6-63ce-4338-a05b-ed00c2164f8f,Achillea ltebyjz,Wild Amazon Achillea Leaf (Stress),Zingiberaceae,Western Herbal,Skin,Low,Preclinical
b49e2045-b854-418f-91a9-88c1875561b1,Centella znfdawy,River Atlas Centella Essence (Cardiovascular),Lamiaceae,Unani,Liver,Low,Traditional
4053ba69-79ba-4d4e-aa6c-07140c5f4ca2,Centella hwfjgcy,Mountain Atlas Centella Fruit (Respiratory),Rosaceae,Amazonian,Liver,Moderate,Clinical
a397b5a9-a80e-47e1-9a8b-b434b09614f4,Harpagophytum skvtltf,Fragrant Andean Harpagophytum Infusion (Digestive),Araliaceae,African Traditional,Immune,Low,Traditional
860553cd-12e9-4983-a471-81a8348137c1,Asparagus jkxhxvt,Green Amazon Asparagus Bark (Sleep),Rutaceae,Ayurveda,Metabolic,Low,Preclinical
07dcbd0e-68c8-48ee-b3ce-4c43ceca0c6b,Echinacea gfdmsks,Rare Nile Echinacea Rhizome (Skin),Solanaceae,Unani,Respiratory,High,Traditional
be1896b0-3634-487a-8262-45aa6cb16c31,Alpinia pxnuvdi,Bright Bengal Alpinia Leaf (Inflammation),Lamiaceae,Ayurveda,Liver,Low,Preclinical
c8c291a0-e5ce-4b78-a5d0-89327ceb91e0,Lavandula cocdhwa,Mountain Bengal Lavandula Seed (Metabolic),Euphorbiaceae,TCM,Metabolic,High,Preclinical
ba5f0ea9-d3d7-4075-9c7e-252ebdb1df23,Andrographis eipvdgr,Forest Himalayan Andrographis Essence (Digestive),Solanaceae,Amazonian,Digestive,High,Traditional
f295c7fd-a535-471a-a45e-78ca7e2cd92e,Glycyrrhiza fsfivwf,Bitter Atlas Glycyrrhiza Leaf (Skin),Zingiberaceae,TCM,Cardiovascular,High,Preclinical
b2192fa0-f37c-426b-96eb-8a4cff7ef6ec,Rhodiola jduagsv,White Bengal Rhodiola Resin (Stress),Araliaceae,Ayurveda,Metabolic,Moderate,Traditional
36f8990c-3c83-4c17-b384-a60a49ddd35b,Hypericum dmpadmr,Resilient Balkan Hypericum Essence (Skin),Lamiaceae,Ayurveda,Immune,Moderate,Preclinical
6aac9580-30e5-4449-b94d-81b44283fdec,Andrographis myplhyw,Soothing Balkan Andrographis Tonic (Digestive),Poaceae,TCM,Inflammation,Moderate,Preclinical
3cd31557-e571-4cc8-8a2f-48a0a2c0769c,Angelica exxkkir,Black Saharan Angelica Rhizome (Sleep),Poaceae,Amazonian,Skin,High,Clinical
65a47a11-1970-4ae6-bda1-0111727f2af5,Harpagophytum ddroiyu,Soothing Yunnan Harpagophytum Flower (Cognitive),Apiaceae,TCM,Inflammation,High,Clinical
c219ba6e-e72c-464f-b70d-ee6e3ff74548,Terminalia caqecri,Black Atlas Terminalia Rhizome (Inflammation),Poaceae,Ayurveda,Skin,High,Clinical
8bc51c85-5517-4de7-9692-0cef4eb90dc9,Inula szbidxp,Black Sichuan Inula Flower (Diabetes),Fabaceae,Western Herbal,Metabolic,High,Preclinical
89232d3a-b512-4349-90e5-ece40d856723,Artemisia lmcetnv,Wild Sichuan Artemisia Rhizome (Stress),Solanaceae,Ayurveda,Liver,Moderate,Clinical
fdf1f6b6-9d4f-41bc-ba93-8d34af777637,Ficus uacxshz,Healing Bengal Ficus Infusion (Stress),Euphorbiaceae,TCM,Inflammation,High,Traditional
62b67895-f51f-43d4-bf42-734c78ad52f0,Cinnamomum gdeuico,Calming Nile Cinnamomum Elixir (Cognitive),Poaceae,Ayurveda,Diabetes,Moderate,Preclinical
6f47d6db-eaa2-45c5-8412-de02daa227fb,Andrographis ycqaduf,Golden Kerala Andrographis Root (Immune),Araliaceae,Ayurveda,Liver,Low,Clinical
92fea03e-ce71-410c-a9db-6c05b0fa5808,Uncaria vsujdsf,Desert Sichuan Uncaria Essence (Inflammation),Poaceae,TCM,Digestive,Moderate,Traditional
8220374d-17d9-440c-add0-833cc043a415,Terminalia afwowst,Forest Amazon Terminalia Fruit (Respiratory),Fabaceae,African Traditional,Skin,High,Preclinical
abfc0982-4e68-4461-9da8-cc09557d82ce,Hypericum qbpxguf,Desert Amazon Hypericum Rhizome (Cardiovascular),Poaceae,Amazonian,Diabetes,High,Traditional
ee00c67f-180d-455b-893f-0ee41ec13e0d,Tinospora ddevaxm,Forest Yunnan Tinospora Leaf (Metabolic),Lamiaceae,Western Herbal,Respiratory,Moderate,Traditional
4959cdd6-d5a8-464e-bd1e-308955db94e6,Echinacea oydaohx,Wild Kerala Echinacea Rhizome (Skin),Araliaceae,Western Herbal,Sleep,High,Preclinical
23cb1550-fd01-41cb-9f8a-b84202e1fea7,Curcuma jdolhmw,Black Bengal Curcuma Fruit (Metabolic),Zingiberaceae,African Traditional,Cognitive,High,Preclinical
b6310083-e32e-47a6-a335-13cc9496d623,Panax ovmkeoj,River Balkan Panax Resin (Skin),Rosaceae,Unani,Digestive,Moderate,Traditional
1c5f7bd8-bffb-4c54-b813-0fc3e14a46ba,Ficus oqbwvmc,Ancient Himalayan Ficus Powder (Digestive),Zingiberaceae,Amazonian,Stress,High,Traditional
99f64e99-86db-4aa9-ba4a-d484530763d1,Scutellaria swxejch,Sacred Nile Scutellaria Fruit (Respiratory),Fabaceae,Unani,Metabolic,Moderate,Preclinical
f5db0fc5-6c17-46ba-9c7b-6e4e45a540ab,Polygonum xihcqcl,Restorative Sichuan Polygonum Extract (Immune),Solanaceae,Unani,Stress,Low,Traditional
0c5c21f4-f90c-48e8-9ac0-9e18df655364,Tinospora fbhezea,Fragrant Bengal Tinospora Rhizome (Skin),Rosaceae,TCM,Liver,High,Preclinical
549c818d-eb89-49d7-81a4-7b1ea624b58a,Tinospora ckeqtav,Gentle Yunnan Tinospora Infusion (Immune),Lamiaceae,Western Herbal,Liver,Low,Clinical
050fcfc2-7a73-4a36-91cd-4a96718ba672,Aloe euhnzad,Red Yunnan Aloe Resin (Skin),Solanaceae,Amazonian,Cardiovascular,High,Traditional
1f12abdb-ec3d-46ac-8ee1-963e4b89ce60,Moringa ersbhgv,Fragrant Mediterranean Moringa Extract (Sleep),Apiaceae,Unani,Diabetes,Moderate,Preclinical
de9f02db-d780-45be-8820-1ea5e0171063,Achillea wlnafkj,Red Nile Achillea Root (Metabolic),Fabaceae,Unani,Sleep,Low,Preclinical
d4d98301-3d82-4323-82df-11fb0bf82102,Trigonella kqwksyo,Purifying Mediterranean Trigonella Elixir (Respiratory),Poaceae,Ayurveda,Metabolic,Moderate,Preclinical
3c2ea429-8cc8-4ea9-ba0d-46ec9915d556,Rauwolfia yrbmkjf,Mountain Yunnan Rauwolfia Powder (Respiratory),Zingiberaceae,Amazonian,Immune,Low,Traditional
d4b28985-c8df-4bfe-ad45-26c4bfadd275,Trigonella ajetxoc,Wild Bengal Trigonella Flower (Skin),Poaceae,African Traditional,Cognitive,Moderate,Traditional
019fdfe6-b8ae-4e91-bd51-80c09bb684a8,Rhodiola zseewlj,Cooling Kerala Rhodiola Flower (Diabetes),Rosaceae,Western Herbal,Sleep,Moderate,Preclinical
deeb4bf9-f8a9-4454-b9d0-8bb76623b28c,Ficus avyjire,Fragrant Amazon Ficus Elixir (Digestive),Rosaceae,Western Herbal,Metabolic,High,Preclinical
9c90b57e-cd11-4628-bee3-b74beda03251,Ephedra eqfgkyh,Purifying Mediterranean Ephedra Infusion (Cardiovascular),Zingiberaceae,TCM,Stress,High,Traditional
cf3ec939-70a2-4489-ae38-2b7eae602048,Calendula mysowzc,Bright Balkan Calendula Seed (Cardiovascular),Euphorbiaceae,TCM,Immune,High,Clinical
d8601f1f-0284-4220-b677-af46a1580420,Gymnema alcztut,Golden Andean Gymnema Fruit (Diabetes),Lamiaceae,Western Herbal,Digestive,Low,Traditional
46a36cab-994b-4315-ad8c-c060bef1b285,Andrographis hlzjjgz,Green Atlas Andrographis Extract (Immune),Apiaceae,Unani,Stress,Low,Preclinical
71791925-a316-429b-9c82-3cf3d0674022,Asparagus ohdtlhc,Calming Atlas Asparagus Seed (Metabolic),Apiaceae,Unani,Respiratory,High,Clinical
cba957a8-3a4d-42b8-94c7-7c2b89ed16ef,Ginkgo fxvjbfn,Soothing Amazon Ginkgo Powder (Liver),Apiaceae,Ayurveda,Cognitive,Moderate,Clinical
5fd6ebf5-f589-49eb-b161-621e1d303303,Uncaria xbshiyh,Red Kerala Uncaria Flower (Diabetes),Lamiaceae,Western Herbal,Liver,High,Preclinical
f7efcd4e-039d-4305-81e5-4d6d7f7ab40c,Camellia vxkcelo,Rare Balkan Camellia Flower (Stress),Araliaceae,African Traditional,Skin,High,Clinical
43d61117-91b7-40a9-8941-7ce2524327b7,Hypericum nuxfnpi,Mountain Mediterranean Hypericum Resin (Inflammation),Solanaceae,Ayurveda,Liver,Low,Preclinical
1145880f-22e8-42ad-bc24-40cfbd21fb82,Phyllanthus cffdslh,Restorative Kerala Phyllanthus Flower (Liver),Fabaceae,Ayurveda,Inflammation,Moderate,Traditional
eb754e87-3ee6-460d-aeaa-b405687716f4,Adhatoda pmtfndd,Mountain Mediterranean Adhatoda Resin (Immune),Euphorbiaceae,Western Herbal,Skin,Low,Clinical
fbce2f7d-ca20-4ded-a4ab-e2db33b3eff7,Inula dpxhbnk,Golden Sichuan Inula Root (Immune),Fabaceae,Ayurveda,Metabolic,Moderate,Clinical
41b4ea58-b236-42f4-9f03-6eaf821182ff,Thymus duwydvg,Golden Amazon Thymus Essence (Cognitive),Zingiberaceae,African Traditional,Digestive,Low,Clinical
1c66c008-f672-4159-8ed0-a058b5a8589c,Scutellaria xmnysta,Forest Mediterranean Scutellaria Tonic (Inflammation),Poaceae,African Traditional,Liver,High,Traditional
12df3866-4244-4675-9863-b7d063d458c1,Harpagophytum hcenxzb,White Kerala Harpagophytum Leaf (Respiratory),Zingiberaceae,Ayurveda,Inflammation,Low,Traditional
58928c8d-2889-4f68-a089-6a5b726f51bd,Acacia jqnxbul,Rare Atlas Acacia Fruit (Sleep),Fabaceae,African Traditional,Skin,High,Clinical
d0ff2ff9-30d7-45a7-ab10-afcca8dbe244,Gymnema eyianak,Resilient Himalayan Gymnema Root (Diabetes),Rutaceae,TCM,Respiratory,High,Traditional
1723a96a-0358-485f-b1e5-2d5e3b4d287d,Plantago fwzozza,Sacred Balkan Plantago Extract (Cognitive),Fabaceae,TCM,Liver,Moderate,Clinical
7373cbf3-3280-4870-984c-0f3db4a2c07e,Rhodiola jfospik,Calming Bengal Rhodiola Flower (Immune),Asteraceae,Western Herbal,Digestive,High,Clinical
5c758a8f-d712-48ec-bda6-cb91ee19d417,Boswellia htzlthu,Restorative Nile Boswellia Flower (Diabetes),Fabaceae,African Traditional,Metabolic,High,Preclinical
8658faff-70ff-4514-bc2c-51814950138b,Camellia fmodwhe,Bitter Amazon Camellia Fruit (Sleep),Apiaceae,Unani,Immune,Moderate,Traditional
be535a49-12b4-4e28-ae46-7da1b9855445,Trigonella jxjofhc,Ancient Sichuan Trigonella Fruit (Immune),Lamiaceae,Unani,Diabetes,High,Clinical
8e07a623-7283-4a07-a723-e7146362ffb3,Valeriana ethhgfr,Fragrant Atlas Valeriana Bark (Stress),Asteraceae,Western Herbal,Inflammation,High,Traditional
4e3734e8-1d0b-4647-9b19-b9e0f8e84865,Hypericum yltxxpz,River Mediterranean Hypericum Rhizome (Inflammation),Poaceae,TCM,Metabolic,Moderate,Preclinical
abfa1e40-372f-48c6-a49a-882b97cdb090,Moringa hrmmwvv,Strong Andean Moringa Seed (Metabolic),Fabaceae,African Traditional,Inflammation,Low,Preclinical
73dc62e7-d4d3-4cfc-8d15-8f88faaa5d81,Alpinia bdjvdel,Red Balkan Alpinia Powder (Immune),Solanaceae,Unani,Liver,Low,Clinical
b64fe444-aec8-4e5f-9c48-e9093153b879,Cassia dhixmfb,Calming Mediterranean Cassia Rhizome (Diabetes),Lamiaceae,Unani,Skin,Moderate,Traditional
f5ad8889-2241-45eb-888f-b1d6ee4b3ce2,Achillea uwnnvwb,Bitter Bengal Achillea Rhizome (Digestive),Apiaceae,TCM,Sleep,High,Traditional
e447a141-e4dc-4048-9d47-fcbbc8cc4f95,Lavandula ghgzyha,Soothing Nile Lavandula Rhizome (Digestive),Solanaceae,Unani,Immune,High,Traditional
d946fef8-4c21-467c-aca2-57cdbc8a2921,Alpinia bkuojsq,Bitter Balkan Alpinia Resin (Cognitive),Solanaceae,Unani,Diabetes,Low,Preclinical
cba4e683-ab38-47de-9bb9-7bce65dc45ac,Tinospora gqtcsue,Silver Andean Tinospora Tonic (Stress),Euphorbiaceae,Amazonian,Metabolic,Moderate,Clinical
3ef7407d-4a34-4d57-8237-79b8cf1f9129,Thymus fldiidn,Sacred Atlas Thymus Rhizome (Skin),Zingiberaceae,Unani,Sleep,High,Traditional
e85d2919-aa3c-4b31-b8da-f0b170226945,Harpagophytum fmaroxg,Resilient Kerala Harpagophytum Tonic (Cardiovascular),Fabaceae,Western Herbal,Cardiovascular,High,Traditional
ca9870f9-166d-49e5-9335-bf24eb621200,Ficus kzggefg,Vital Andean Ficus Seed (Diabetes),Rosaceae,Unani,Digestive,Low,Clinical
c1628837-0895-44b1-8143-28eac73a34ec,Aloe vxzsngd,Restorative Himalayan Aloe Leaf (Metabolic),Zingiberaceae,TCM,Liver,High,Clinical
754833a4-dd88-4106-833a-cecf098eef55,Gymnema crfcycu,Red Saharan Gymnema Essence (Inflammation),Apiaceae,TCM,Sleep,High,Preclinical
76eafbb1-3596-4e5e-8eff-958103042bee,Alpinia xtcsbvg,Vital Atlas Alpinia Essence (Metabolic),Rosaceae,TCM,Stress,Low,Clinical
aa441747-a38f-4a37-8077-a6f4ec1bdb43,Scutellaria vzlgnzt,Bright Atlas Scutellaria Resin (Stress),Poaceae,African Traditional,Skin,Low,Clinical
bb9f4dca-954b-464e-b80b-086040df5b4a,Lavandula ooinznw,Mountain Amazon Lavandula Fruit (Digestive),Rutaceae,TCM,Skin,Low,Traditional
3800c3f0-418c-4ae4-8e8f-aa75584f5154,Berberis hmvlkxw,Vital Amazon Berberis Fruit (Digestive),Asteraceae,TCM,Metabolic,Moderate,Traditional
2a780287-62e6-4787-831f-b26e485cf382,Silybum gykmcku,Strong Kerala Silybum Leaf (Inflammation),Rutaceae,TCM,Liver,Low,Clinical
ba49e441-ec6c-4c58-814a-b4855fe628d1,Acorus bbwobbo,Calming Himalayan Acorus Fruit (Cognitive),Apiaceae,African Traditional,Inflammation,Moderate,Traditional
ed4f9cd1-21d1-449e-8194-97cc51266292,Valeriana eevfvur,Restorative Sichuan Valeriana Root (Stress),Poaceae,Western Herbal,Respiratory,Low,Traditional
12c4d75e-4dd2-4e37-b8a8-7ffce4878d31,Terminalia lbrrapb,Gentle Sichuan Terminalia Tonic (Inflammation),Rosaceae,Ayurveda,Respiratory,Moderate,Clinical
cfdd9b00-4d08-404c-899e-74d2d355b68b,Trigonella fhhtvdl,Bright Sichuan Trigonella Bark (Cardiovascular),Rutaceae,Unani,Cognitive,Low,Preclinical
bce4d030-7354-4541-859d-0f447ecf2804,Asparagus slaadkx,Silver Bengal Asparagus Fruit (Metabolic),Apiaceae,Unani,Skin,Low,Clinical
f35f8d30-4268-4594-a9d7-f3e56e779a4e,Artemisia uefrilp,Vital Andean Artemisia Tonic (Respiratory),Asteraceae,Ayurveda,Stress,High,Clinical
daf79487-b6c0-4ebf-8d66-575244bb2eb3,Berberis ymhszpc,River Atlas Berberis Rhizome (Sleep),Rosaceae,Unani,Inflammation,Low,Traditional
6fc2ffbe-a4bf-48a7-bebd-409fe10812f8,Withania rvydhvu,Ancient Balkan Withania Tonic (Liver),Rosaceae,TCM,Sleep,High,Traditional
17ed4f9e-f2dc-4816-8b6e-d45f5538b8cd,Lavandula dtfxbbu,Healing Sichuan Lavandula Infusion (Immune),Poaceae,African Traditional,Cognitive,High,Clinical
51c64bdf-2da8-49da-ac7b-b4ff7c8090aa,Artemisia gnxpldh,Resilient Saharan Artemisia Extract (Inflammation),Rutaceae,Unani,Respiratory,Moderate,Traditional
b77e1edf-c248-4e16-a120-0f0febe66990,Plantago ptzcpts,Resilient Mediterranean Plantago Flower (Metabolic),Lamiaceae,Western Herbal,Sleep,Moderate,Traditional
27e07d0b-fd91-4f02-8237-a9d2b2a54907,Adhatoda elydtgt,Forest Amazon Adhatoda Bark (Skin),Zingiberaceae,Amazonian,Inflammation,Low,Traditional
ff51e151-e9e5-4780-bc77-27be6e57b0d5,Glycyrrhiza suckhud,Black Yunnan Glycyrrhiza Bark (Cognitive),Zingiberaceae,Western Herbal,Inflammation,Low,Traditional
2b0b14c8-fa67-443a-9e18-1d459a18a500,Scutellaria bqywdtr,Vital Atlas Scutellaria Seed (Stress),Rutaceae,Western Herbal,Skin,High,Traditional
19906a4e-7de8-467c-8a60-2a85a2c59c2f,Asparagus fnzttks,Strong Andean Asparagus Elixir (Sleep),Apiaceae,Western Herbal,Sleep,Low,Preclinical
dda36de8-e684-40c4-a921-85fdb6aa14be,Ephedra zxbojsq,Black Saharan Ephedra Flower (Liver),Araliaceae,Ayurveda,Digestive,Low,Clinical
6cf2b7bd-ff23-4604-a791-189a5b12103b,Boswellia umhsclj,Fragrant Andean Boswellia Extract (Cognitive),Solanaceae,Unani,Liver,Moderate,Preclinical
5c30600f-bdac-4a39-9de4-c92af28f88b5,Silybum ptivftt,Silver Yunnan Silybum Powder (Immune),Asteraceae,Western Herbal,Skin,Moderate,Clinical
6914e7b0-82a4-405d-87f4-d8943ab77b1a,Curcuma tkkfpep,Sacred Saharan Curcuma Extract (Liver),Euphorbiaceae,Western Herbal,Digestive,High,Preclinical
f45fab87-d21a-401f-89c3-d1908a702e67,Aloe ebckldl,Golden Bengal Aloe Infusion (Liver),Apiaceae,Amazonian,Respiratory,Low,Preclinical
0b80a936-1324-409f-90a4-56d676e754b7,Echinacea kybvmkd,Purifying Bengal Echinacea Powder (Skin),Zingiberaceae,Ayurveda,Diabetes,Low,Clinical
9819e263-d426-4f5c-8b35-2af79e7a3afe,Centella zjgowxj,Green Amazon Centella Essence (Inflammation),Fabaceae,Amazonian,Digestive,Low,Preclinical
60110dd9-8df8-49e6-ad37-1d286ded7cb8,Terminalia tqwpmdt,Restorative Andean Terminalia Extract (Metabolic),Euphorbiaceae,Amazonian,Skin,Low,Clinical
aa0055da-8a29-4883-8214-d615546a84a2,Calendula xgaznbb,Golden Himalayan Calendula Leaf (Inflammation),Fabaceae,TCM,Sleep,Moderate,Preclinical
4e4283d1-1e33-4a6d-8184-f7cb5515e8d8,Curcuma yyaafqi,Black Amazon Curcuma Essence (Inflammation),Rosaceae,Western Herbal,Skin,Low,Traditional
6ef879ec-34eb-4cac-9888-4d12345d6c01,Angelica mbdvygv,Cooling Amazon Angelica Flower (Liver),Asteraceae,Unani,Cognitive,High,Traditional
11956c32-5dca-475c-b9f6-243256ec449e,Curcuma rxqjmkr,White Bengal Curcuma Fruit (Sleep),Euphorbiaceae,African Traditional,Digestive,Low,Traditional
c1324c6e-ae6f-48b2-98f3-0ccba9cc772a,Inula njimkqf,Golden Amazon Inula Extract (Immune),Rosaceae,TCM,Liver,Low,Clinical
75a88b2a-c523-4d26-8b80-7ee6cba1a7bb,Terminalia wlxdeay,Rare Atlas Terminalia Seed (Inflammation),Rutaceae,TCM,Metabolic,High,Clinical
